experiment,split,budget,wrong_inputs,repaired_inputs,repair_rate,repair_ci_low,repair_ci_high,baseline_correct,total_inputs,baseline_accuracy,assisted_accuracy,mean_queries_all_failures,median_queries_all_failures,mean_queries_successes,median_queries_successes
100-word,test,10,533,153,0.2870544090056285,0.24953095684803,0.324577861163227,347,880,0.39431818181818185,0.5681818181818182,8.153846153846153,10.0,3.5686274509803924,3.0
100-word,test,14,533,168,0.3151969981238274,0.2776735459662289,0.3545966228893058,347,880,0.39431818181818185,0.5852272727272727,10.951219512195122,14.0,4.3273809523809526,3.0
Full lexicon,dev,1,148,17,0.11486486486486487,0.06756756756756757,0.16891891891891891,122,270,0.45185185185185184,0.5148148148148148,1.0,1.0,1.0,1.0
Full lexicon,dev,3,148,28,0.1891891891891892,0.12837837837837837,0.25,122,270,0.45185185185185184,0.5555555555555556,2.72972972972973,3.0,1.5714285714285714,1.0
Full lexicon,dev,5,148,33,0.22297297297297297,0.1554054054054054,0.2905405405405405,122,270,0.45185185185185184,0.5740740740740741,4.331081081081081,5.0,2.0,1.0
Full lexicon,dev,10,148,35,0.23648648648648649,0.16891891891891891,0.30405405405405406,122,270,0.45185185185185184,0.5814814814814815,8.16891891891892,10.0,2.257142857142857,2.0
Full lexicon,dev,14,148,35,0.23648648648648649,0.16891891891891891,0.30405405405405406,122,270,0.45185185185185184,0.5814814814814815,11.222972972972974,14.0,2.257142857142857,2.0
Full lexicon,test,1,1212,60,0.04950495049504951,0.037953795379537955,0.06188118811881188,632,1844,0.34273318872017355,0.3752711496746204,1.0,1.0,1.0,1.0
Full lexicon,test,3,1212,153,0.12623762376237624,0.10808580858085809,0.14521452145214522,632,1844,0.34273318872017355,0.425704989154013,2.849009900990099,3.0,1.803921568627451,2.0
Full lexicon,test,5,1212,195,0.1608910891089109,0.14026402640264027,0.18151815181518152,632,1844,0.34273318872017355,0.44848156182212584,4.5783828382838285,5.0,2.3794871794871795,2.0
Full lexicon,test,10,1212,253,0.20874587458745875,0.18646864686468648,0.23184818481848185,632,1844,0.34273318872017355,0.47993492407809113,8.6493399339934,10.0,3.5296442687747036,3.0
Full lexicon,test,14,1212,281,0.23184818481848185,0.20874587458745875,0.25495049504950495,632,1844,0.34273318872017355,0.49511930585683295,11.784653465346535,14.0,4.444839857651245,3.0
