sample_id,index,speaker,utt_id,target_word,mapped_correct,duration_sec,original_rms,perturbation_linf,perturbation_rms,snr_db,perturbation_spectral_centroid_hz,perturbation_spectral_rolloff85_hz,mean_absolute_log_spectral_change_db,p95_absolute_log_spectral_change_db,energy_fraction_0-0.5k,energy_fraction_0.5-2k,energy_fraction_2-4k,energy_fraction_4-8k
M02||158||mitten,532,M02,158,mitten,1,3.39,0.1248849972817987,0.0002000033855438,0.0001728805812197,57.175281095243584,3736.1898124710183,6296.875,1.6018241895913703,6.657438795825248,0.0244193062821482,0.1977360300250274,0.3690198524108552,0.4018775475933454
M02||159||oscar,533,M02,159,oscar,1,2.98,0.1941059696486349,0.0002000033855438,0.0001761812067951,60.84158623353132,4115.070433956442,7015.625,1.388425643736485,5.585790911687854,0.0231207202455553,0.1583985588509565,0.3411081716956244,0.4704716745541804
M02||164||sitting,534,M02,164,sitting,1,2.98,0.1646934849774698,0.0002000033855438,0.0001646662839368,60.001434693973614,3894.393751565252,7000.0,1.4552455580250814,5.96512300267519,0.0354213133733995,0.2179123558983548,0.3117953538772171,0.4276533918725766
M02||165||at,535,M02,165,at,0,3.005,0.1132068366715003,0.0002000033855438,0.0001709851504098,56.41828520728364,3786.745590559997,6531.25,1.7269827714592154,7.504373010010488,0.0276871915677246,0.1954664366792387,0.3700523111777848,0.4003574210363976
M02||166||rich,536,M02,166,rich,0,3.15,0.1564228937566378,0.0002000033855438,0.0001752914803836,59.01079014218798,3803.888850763416,6484.375,1.6077827829496931,6.473109529223242,0.028666451192775,0.1775862775220861,0.3791233857688061,0.4080301999031221
M02||167||spark,537,M02,167,spark,1,2.935,0.2256507677535456,0.0002000033855438,0.0001712407461054,62.396594081788834,3562.3705457289657,6343.75,1.1434757387995906,3.855097829880549,0.0382315663361859,0.243101852782001,0.3490357833455724,0.3632213810470382
M02||169||spit,538,M02,169,spit,0,2.275,0.1587156655740752,0.0002000033855438,0.0001643005166564,59.699617310968485,3626.860134849237,6453.125,1.495251575599778,6.092800697542902,0.0400910948209628,0.2304216068296908,0.3377298943087311,0.3846943019281869
M02||170||spain,539,M02,170,spain,1,3.0,0.180385453275619,0.0002000033855438,0.0001727069412949,60.3778343864889,3743.522790124999,6625.0,1.4526186411081672,5.780117433123529,0.0289986502627741,0.2314446799410018,0.3296522283762278,0.4018161239639781
M02||171||chop,540,M02,171,chop,0,3.355,0.1620073274716542,0.0002000033855438,0.0001606284861674,60.07424182812557,3540.46196967588,6375.0,1.5968022934582289,6.470638374603463,0.0302355856825497,0.2481022244459138,0.3658157892412561,0.3492570394503961
M02||172||nine,541,M02,172,nine,1,2.85,0.1914721570194809,0.0002000033855438,0.0001750698523867,60.77788528546176,3696.493180985319,6437.5,1.5173786137470546,6.036677907417276,0.0264497261390226,0.2289627035631889,0.3411860948903077,0.3964562344770169
M02||173||city,542,M02,173,city,0,2.925,0.1433061761510625,0.0002000033855438,0.00017252190601,58.38841320582227,4208.15113765456,7187.5,1.5126010302486772,6.511915005901734,0.0277902008563808,0.1802851218893678,0.279796527686052,0.5061230031355699
M02||177||hotel,543,M02,177,hotel,0,3.27,0.2267731091221736,0.0002000033855438,0.0001725267508832,62.37470221746116,3638.748438366724,6453.125,1.3234205872268645,5.011307014030535,0.0270629571767705,0.2345520127760505,0.3484782729529498,0.3818706676832122
